number,timestamp,channel,datahash
29,10364,main_cheetah_visualization,70dce3cf11c08aef79ef7883d0e57774
30,10419,state_estimator,9d681c78f3634312b5a83a084990ab63
31,12000,leg_control_command,19abd5d1afd1985553dfca43a5de7613
32,12000,simulator_state,24a07ce6b1fadce7b232c69b41375443
33,12209,leg_control_data,647844ba4ef2d0bab9d33c753258681c
34,12225,main_cheetah_visualization,ec7f7276ae3b726b9078633b6573e7cf
35,12435,state_estimator,c4e153aefccd69b6c58885a0ce1ddd6a
36,14000,simulator_state,28e593b304600aeb5a98ebe8862b0d38
37,14000,leg_control_command,19abd5d1afd1985553dfca43a5de7613
38,14002,leg_control_data,4c949635616a681ca5d9da23192d385f
39,14003,state_estimator,d25f9343530134e8e07083dc43d0a81c
40,14004,main_cheetah_visualization,ed96baecb8d1ef45acc659bbdebe1858
41,16000,simulator_state,1415dbf4efd2ec34c61415d3e4577554
42,16027,leg_control_command,19abd5d1afd1985553dfca43a5de7613
43,16376,leg_control_data,e3905015e3c7e498e0a2ba0769e1eb8a
44,16557,state_estimator,3535516a9addec3aba37ce298daf6bf9
45,17010,main_cheetah_visualization,8ff94a868ebfc7e225ac18846462476f
46,17247,spi_debug_cmd,19abd5d1afd1985553dfca43a5de7613
47,18000,simulator_state,a655c5da3225a3f92fafa1a800feb08d
48,18126,leg_control_command,838d8ecd4f64702ab6eb3a6c563698ff
49,18252,main_cheetah_visualization,53e4249f67f6e855c3d5c72aa85a119d
50,18621,leg_control_data,5899e36ec0169c5c81113f651b0268f6
51,18873,state_estimator,70b3d39d64899dd762f2d1743dd5db6d
52,20000,simulator_state,ad2599f66f52d8701e5c5f4f68e8e8c5
53,20051,leg_control_command,6543d6cda92e761d221b65d5d3edbf90
54,20193,leg_control_data,72c01421de6571a02df9a87ed105490f
55,20361,state_estimator,08a76188f0816f68cba62c1a9421e993
56,20413,main_cheetah_visualization,c8e666f543e26bbda8c356af6708b947
57,22000,simulator_state,1f4cf503b09b6d1338845a70a24faeff
58,22044,leg_control_command,9ad0599314ede8caa033367a235583fb
59,22222,leg_control_data,558ba6af844770b9def6491f2d0fd3c4
60,22385,main_cheetah_visualization,39d12a210a129c89ca240626d6a46cc5
61,22444,state_estimator,0bb66f08a2f453bf7cfc6b056b07c14a
62,24000,simulator_state,134bf5726b0058117a3a5a8241307ca1
63,24066,leg_control_command,d573aca3870f84711ad87413e5f7d460
64,24213,leg_control_data,22407e1e9e1097744e028a33209cda23
65,24306,main_cheetah_visualization,bd5d54b7316a2825668dd32c3fd1f4b8
66,24560,state_estimator,5ec739a1e2f3aec8c05f5f4443224143
67,26000,simulator_state,fca109634855129190f9406e893032b3
68,26041,leg_control_command,090f15c2a51720e14b5f5f7c41221dd9
69,26208,main_cheetah_visualization,9a4bf12bff4178a95dd4f71bca07541a
70,26208,leg_control_data,f35efa878cc9b355c1be12b170bee383
71,26361,state_estimator,7abf9fb47f4c5965367fbbaa7dc05f67
72,27986,leg_control_command,fe27b3ae5de2959759e70e5ee0bf2820
73,28000,simulator_state,95a16b95f368d44f40b3f66d9f42d6c3
74,28180,leg_control_data,507c0a3c448d1bc406480005ae5dc755
75,28193,main_cheetah_visualization,a76764d697d8c77e6d0369a7235e9723
76,28374,state_estimator,7d1a1aad77ee22b24bb7a86237f68406
77,29987,leg_control_command,38029bb1cbb7d06beedb76e18a8afaa5
78,30000,simulator_state,91a5873bba30eefa61ba48b9648d284c
79,30002,main_cheetah_visualization,846c190148bbf4924807b184280aa325
80,30003,leg_control_data,79e4d911dc94fec2923fa4dc8be77c0a
81,30006,state_estimator,5f3568201a1d1a5ab063e5ee64eac7f2
82,32000,simulator_state,9c3ae04121e3ad4a8f17a0fa929b8b0d
83,32327,main_cheetah_visualization,17bb5603b8871323a11596c7a5ed5665
84,32509,leg_control_command,a1251f2d71367f9789edaddfcac841e5
85,32771,leg_control_data,2a7682b0a0bb4192564deaafba2ad335
86,32872,state_estimator,c5d2d6080b6313688f16a8fd1dd97ccc
87,34000,simulator_state,43782735d8e7fea7a10fd6b3e62738eb
88,34430,main_cheetah_visualization,59b10d8876013a81a553397aa90335e1
89,34418,leg_control_command,9029fbb46a152c820da42c248d931086
90,34593,leg_control_data,1ddb388c4142760a2a1fd6870db2f6f3
91,34779,state_estimator,a737458dfb13d0f5330e0017301e34a4
92,36000,simulator_state,d04248a8f5b5e2062d1806f5be876c67
93,36205,main_cheetah_visualization,8d3b1cf8de3bcda7ae038a786a5750dd
94,36266,leg_control_command,56569fd128101dff5f2ee520b4290961
95,36425,leg_control_data,2dcc52af981b9ee2e42ae3b843329862
96,36547,state_estimator,280447642e8a5571608e7dd820b462fa
97,37003,spi_debug_cmd,19abd5d1afd1985553dfca43a5de7613
98,38000,simulator_state,039bca377ee3c57c0728668082550112
99,38015,leg_control_command,38946ab127d62aac38221f616d7136e6
100,38129,leg_control_data,5eeea6a5024c28239f28a3aa87da6c46
