number,timestamp,channel,datahash
0,0,simulator_state,8a8f048ffac1a9af9ac640f2294304d9
1,22,main_cheetah_visualization,30774d5436e9f6e2afd727a7e7c10674
2,1528,LCM_SELF_TEST,b5d4daad26006e40ea8ccec623a2ff4d
3,1861,leg_control_command,19abd5d1afd1985553dfca43a5de7613
4,1874,leg_control_data,0fb9f591f17c90cae568363bedcdfeb7
5,1886,state_estimator,90a9454d0bc40b2ab68e771f2d551aa3
6,2000,leg_control_command,19abd5d1afd1985553dfca43a5de7613
7,2000,simulator_state,89f5f891c251a8e50782cc96648922e6
8,2227,main_cheetah_visualization,05ebf9339e4ac38a47a8d01eb147eade
9,2240,leg_control_data,b1c77d9ce3c48c0d9f5b71e839ab86b9
10,2417,state_estimator,061920134a9cc43b78eed1814c414187
11,4000,simulator_state,a4736b88fd043aa81922a8997561fe67
12,4032,leg_control_command,19abd5d1afd1985553dfca43a5de7613
13,4196,main_cheetah_visualization,57fd84c40b833d6a2367656adf53b1c2
14,4546,leg_control_data,6a034452df23c99cc1da628afb723d4f
15,4699,state_estimator,eedb9fe988469484a318bc18c680b248
16,5989,leg_control_command,19abd5d1afd1985553dfca43a5de7613
17,6000,simulator_state,7623aa6632c7c02feef6dbeb9b881291
18,6210,main_cheetah_visualization,15b9724d60a56aedeb8e88f069bab84d
19,6407,leg_control_data,9449fb10b6056f67502b3de5140905ea
20,6568,state_estimator,098b760078307846832190023e1d0ee6
21,7987,leg_control_command,19abd5d1afd1985553dfca43a5de7613
22,8000,simulator_state,a1580d6b071ae69f2ef19dc60266defd
23,8215,leg_control_data,8343fe6f513ce59365f33d41559b40d0
24,8246,main_cheetah_visualization,bb5e33cc0b935fd36b5cc58e2678d2ab
25,8384,state_estimator,f369aca2d874aee9f1825e6bcc4c2318
26,10000,simulator_state,5e0be20ede1ad83360a857d48099d7f0
27,10013,leg_control_command,19abd5d1afd1985553dfca43a5de7613
28,10229,leg_control_data,9af461804eb341b565b3ce123a225dae
